rank,cca3,country,continent,2023 population,2022 population,2020 population,2015 population,2010 population,2000 population,area (km²),density (km²),growth rate,world percentage
85,CUB,Cuba,North America,11194449,11212191,11300698,11339894,11290417,11105791,109884,108,-0.16%,0.14%
86,SSD,South Sudan,Africa,11088796,10913164,10606227,11194299,9714419,6114440,619745,18,1.61%,0.14%
87,SWE,Sweden,Europe,10612086,10549347,10368969,9849349,9381729,8871043,450295,26,0.59%,0.13%
88,HND,Honduras,North America,10593798,10432860,10121763,9294505,8450933,6656725,112492,95,1.54%,0.13%
89,CZE,Czech Republic,Europe,10495295,10493986,10530953,10523798,10464749,10234710,78865,136,0.01%,0.13%
90,AZE,Azerbaijan,Asia,10412651,10358074,10284951,9863480,9237202,8190337,86600,126,0.53%,0.13%
91,GRC,Greece,Europe,10341277,10384971,10512232,10806641,11033783,11038109,131990,80,-0.42%,0.13%
92,PNG,Papua New Guinea,Oceania,10329931,10142619,9749640,8682174,7583269,5508297,462840,23,1.85%,0.13%
93,PRT,Portugal,Europe,10247605,10270865,10298192,10365435,10588401,10300626,92090,112,-0.23%,0.13%
94,HUN,Hungary,Europe,10156239,9967308,9750573,9844246,9986825,10202055,93028,111,1.90%,0.13%
95,TJK,Tajikistan,Asia,10143543,9952787,9543207,8524063,7621779,6272998,143100,73,1.92%,0.13%
96,ARE,United Arab Emirates,Asia,9516871,9441129,9287289,8916899,8481771,3275333,83600,134,0.80%,0.12%
97,BLR,Belarus,Europe,9498238,9534954,9633740,9700609,9731427,10256483,207600,47,-0.39%,0.12%
98,ISR,Israel,Asia,9174520,9038309,8757489,8007778,7328445,6116958,20770,424,1.51%,0.11%
99,TGO,Togo,Africa,9053799,8848699,8442580,7473229,6571855,5008035,56785,166,2.32%,0.11%
100,AUT,Austria,Europe,8958960,8939617,8907777,8642421,8362829,8010428,83871,109,0.22%,0.11%
101,CHE,Switzerland,Europe,8796669,8740472,8638613,8281732,7822435,7182059,41284,223,0.64%,0.11%
102,SLE,Sierra Leone,Africa,8791092,8605718,8233969,7314773,6436698,4584067,71740,122,2.15%,0.11%
103,LAO,Laos,Asia,7633779,7529475,7319399,6787419,6323418,5430853,236800,33,1.39%,0.10%
104,HKG,Hong Kong,Asia,7491609,7488865,7500958,7399838,7132438,6731195,1104,7135,0.04%,0.09%
105,SRB,Serbia,Europe,7149077,7221365,7358005,7519496,7653748,7935022,88361,82,-1.00%,0.09%
106,NIC,Nicaragua,North America,7046310,6948392,6755895,6298598,5855734,5123222,130373,59,1.41%,0.09%
107,LBY,Libya,Africa,6888388,6812341,6653942,6192235,6491988,5154790,1759540,4,1.12%,0.09%
108,PRY,Paraguay,South America,6861524,6780744,6618695,6177950,5768613,5123819,406752,17,1.19%,0.09%
109,KGZ,Kyrgyzstan,Asia,6735347,6630623,6424874,5914980,5483774,4935182,199951,35,1.58%,0.08%
110,BGR,Bulgaria,Europe,6687717,6781953,6979175,7309253,7592273,8097691,110879,62,-1.39%,0.08%
111,TKM,Turkmenistan,Asia,6516100,6430770,6250438,5766431,5267970,4569132,488100,14,1.33%,0.08%
112,SLV,El Salvador,North America,6364943,6336392,6292731,6231066,6114034,5958482,21041,307,0.45%,0.08%
113,COG,Republic of the Congo,Africa,6106869,5970424,5702174,5064386,4437884,3134030,342000,18,2.29%,0.08%
114,SGP,Singapore,Asia,6014723,5975689,5909869,5650018,5163590,4053602,710,8377,0.65%,0.08%
115,DNK,Denmark,Europe,5910913,5882261,5825641,5677796,5550849,5340655,43094,148,0.49%,0.07%
116,SVK,Slovakia,Europe,5795199,5643453,5456681,5424444,5396424,5376690,49037,118,2.69%,0.07%
117,CAF,Central African Republic,Africa,5742315,5579144,5343020,4819333,4660067,3759170,622984,9,2.92%,0.07%
118,FIN,Finland,Europe,5545475,5540745,5529468,5479461,5363271,5176209,338424,18,0.09%,0.07%
119,NOR,Norway,Europe,5474360,5434319,5379839,5190356,4889741,4491202,323802,15,0.74%,0.07%
120,LBR,Liberia,Africa,5418377,5302681,5087584,4612329,4019956,2895224,111369,56,2.18%,0.07%
121,PSE,Palestine,Asia,5371230,5250072,5019401,4484614,3992278,3139954,6220,892,2.31%,0.07%
122,LBN,Lebanon,Asia,5353930,5489739,5662923,6398940,4995800,4320642,10452,523,-2.47%,0.07%
123,NZL,New Zealand,Oceania,5228100,5185288,5061133,4590590,4346338,3855266,270467,20,0.83%,0.07%
124,CRI,Costa Rica,North America,5212173,5180829,5123105,4895242,4622252,3979193,51100,102,0.60%,0.07%
125,IRL,Ireland,Europe,5056935,5023109,4946119,4665760,4524585,3768950,70273,73,0.67%,0.06%
126,MRT,Mauritania,Africa,4862989,4736139,4498604,3946220,3419461,2695003,1030700,5,2.68%,0.06%
127,OMN,Oman,Asia,4644384,4576298,4543399,4191776,2881914,2344253,309500,15,1.49%,0.06%
128,PAN,Panama,North America,4468087,4408581,4294396,3957099,3623617,3001731,75417,60,1.35%,0.06%
129,KWT,Kuwait,Asia,4310108,4268873,4360444,3908743,2943356,1934901,17818,242,0.97%,0.05%
130,HRV,Croatia,Europe,4008617,4030358,4096868,4254815,4368682,4548434,56594,72,-0.54%,0.05%
131,ERI,Eritrea,Africa,3748901,3684032,3555868,3340006,3147727,2392880,117600,31,1.76%,0.05%
132,GEO,Georgia,Asia,3728282,3744385,3765912,3771132,3836831,4265172,69700,54,-0.43%,0.05%
133,MNG,Mongolia,Asia,3447157,3398366,3294335,2964749,2702520,2450979,1564110,2,1.44%,0.04%
134,MDA,Moldova,Europe,3435931,3272996,3084847,3277388,3678186,4251573,33846,104,4.98%,0.04%
135,URY,Uruguay,South America,3423108,3422794,3429086,3402818,3352651,3292224,181034,20,0.01%,0.04%
136,PRI,Puerto Rico,North America,3260314,3252407,3271564,3497335,3717922,3827108,8870,368,0.24%,0.04%
137,BIH,Bosnia and Herzegovina,Europe,3210847,3233526,3318407,3524324,3811088,4179350,51209,63,-0.70%,0.04%
138,ALB,Albania,Europe,2832439,2842321,2866849,2882481,2913399,3182021,28748,103,-0.35%,0.04%
139,JAM,Jamaica,North America,2825544,2827377,2820436,2794445,2733896,2612205,10991,261,-0.06%,0.04%
140,ARM,Armenia,Asia,2777970,2780469,2805608,2878595,2946293,3168523,29743,98,-0.09%,0.03%
141,GMB,Gambia,Africa,2773168,2705992,2573995,2253133,1937275,1437539,10689,274,2.48%,0.03%
142,LTU,Lithuania,Europe,2718352,2750055,2820267,2963765,3139019,3599637,65300,43,-1.15%,0.03%
143,QAT,Qatar,Asia,2716391,2695122,2760385,2414573,1713504,645937,11586,236,0.79%,0.03%
144,BWA,Botswana,Africa,2675352,2630296,2546402,2305171,2091664,1726985,582000,5,1.71%,0.03%
145,NAM,Namibia,Africa,2604172,2567012,2489098,2282704,2099271,1819141,825615,3,1.45%,0.03%
146,GAB,Gabon,Africa,2436566,2388992,2292573,2028517,1711105,1272935,267668,9,1.99%,0.03%
147,LSO,Lesotho,Africa,2330318,2305825,2254100,2118521,2022747,1998630,30355,77,1.06%,0.03%
148,GNB,Guinea-Bissau,Africa,2150842,2105566,2015828,1788919,1567220,1230849,36125,76,2.15%,0.03%
149,SVN,Slovenia,Europe,2119675,2119844,2117641,2080862,2057287,1984339,20273,105,-0.01%,0.03%
150,MKD,North Macedonia,Europe,2085679,2093599,2111072,2107962,2093828,2037936,25713,83,-0.38%,0.03%
151,LVA,Latvia,Europe,1830211,1850651,1897052,1991955,2101530,2392530,64559,29,-1.10%,0.02%
152,GNQ,Equatorial Guinea,Africa,1714671,1674908,1596049,1346973,1094524,684977,28051,61,2.37%,0.02%
153,TTO,Trinidad and Tobago,North America,1534937,1531044,1518147,1460177,1410296,1332203,5130,299,0.25%,0.02%
